cpt code  Major Category                                    Minor category                                    CPT description
92081     Medicine                                          Ophthalmology                                     92081 Visual Field Examination(s) 
76775     Radiology                                         Diagnostic Ultrasound                             76775 ECHO Exam Abdomen Back Wall 
G0452     HCPCS Codes                                       Temporary Codes                                   G0452 Molecular pathology interpr
73565     Radiology                                         Lower Extremities                                 73565 X-Ray Exam of Knee 
76000     Radiology                                         Veins/Lymphatics                                  76000 Fluoroscope Examination 
70543     Radiology                                         MRI                                               70543 Mri orbt/fac/nck w/o&w dye
11100     Surgery                                           Integumentary                                     11100 Biopsy of Skin Lesion 
99239     E&M                                               Moderate/High Severity                            99239 Hospital Discharge Day 
73650     Radiology                                         Lower Extremities                                 73650 X-Ray Exam of Heel 
73520     Radiology                                         Lower Extremities                                 73520 X-Ray Exam of Hips 
62311     Surgery                                           Nervous                                           62311 Injection Lumbar, Sacral
95819     Medicine                                          Neurology                                         95819 Electroencephalogram (EEG) 
77073     Radiology                                         Unknown                                           77073 X-rays bone length studies
G0462                                                                                                         G0462     Immunohisto/cyto chem add
82607     Pathology                                         Chemistry                                         82607 Vitamin B-12 
93306     Medicine                                          Cardiovascular, Echocardiography                  93306 Echocardiography, transthoracic
36620     Surgery                                           Cardiovascular - Arteries/Veins                   36620 Insertion Catheter, Artery 
45378     Surgery                                           Digestive - Rectum/Anus                           45378 Diagnostic Colonoscopy 
74020     Radiology                                         Abdomen/GI/Urinary                                74020 X-Ray Exam of Abdomen 
90833     Medicine                                          Psychiatry & Biofeedback                          90833 Psytx pt&/fam w/e&m 30 min
99232     E&M                                               Low/Moderate Severity                             99232 Subsequent Hospital Care 
76830     Radiology                                         Diagnostic Ultrasound                             76830 ECHO Exam, Transvaginal 
90686     Medicine                                          Immune Globulins/Immunizations/Vaccines           90686 Flu vac no prsv 4 val 3 yrs+
87205     Pathology                                         Microbiology                                      87205 Smear, Stain & Interpret 
51702     OP                                                OP                                                51702 Insert temp bladder cath
82565     Pathology                                         Chemistry                                         82565 Assay Creatinine 
95921     Medicine                                          Neurology                                         95921 Autonomic Nervous Function Test 
97140     Medicine                                          Other                                             97140 Manual Therapy 
92012     Medicine                                          Ophthalmology                                     92012 Eye Exam, Established Pt 
92083     Medicine                                          Ophthalmology                                     92083 Visual Field Examination(s) 
73060     Radiology                                         Upper Extremities                                 73060 X-Ray Exam of Humerus 
80051     Pathology                                         Pathology                                         80051 Electrolyte Panel 
83001     Pathology                                         Chemistry                                         83001 Gonadotropin (FSH) 
82652     Pathology                                         Chemistry                                         82652 Assay, Dihydroxyvitamin D 
77003     Radiology                                         Unknown                                           77003 Fluoroguide for spine inject
77295     Radiology                                         Radiation Oncology                                77295 Set Radiation Therapy Field 
22633     Surgery                                           Muscuoskeletal - Back/Spine/Abdomen               22633 Lumbar spine fusion combined
74420     Radiology                                         Abdomen/GI/Urinary                                74420 Contrast X-Ray Urinary Tract 
85027     Pathology                                         Hematology/Coagulation                            85027 Automated Hemogram 
01482     Anesthesia                                        Anesthesia                                        01482 Anesth, Radical Leg Surgery 
76098     Radiology                                         Veins/Lymphatics                                  76098 X-Ray Exam, Breast Specimen 
52354     Surgery                                           Urinary                                           52354 Cystouretero w/biopsy
73590     Radiology                                         Lower Extremities                                 73590 X-Ray Exam of Lower Leg 
Q2037     HCPCS Codes                                       Temporary Codes                                   Q2037 Fluvirin vacc, 3 yrs & >, im
51798     Surgery                                           Urinary                                           51798 Us urine capacity measure
52310     Surgery                                           Urinary                                           52310 Cystoscopy & Treatment 
G0206     HCPCS Codes                                       Temporary Codes                                   G0206 Diagnosticmammographydigital
99306     E&M                                               Low/Moderate Severity                             99306 Nursing facility care init
11403     Surgery                                           Integumentary                                     11403 Removal of Skin Lesion 
70480     Radiology                                         Head/Neck/Chest                                   70480 CAT Scan of Skull 
99285     E&M                                               Moderate/High Severity                            99285 Emergency Dept Visit 
64450     Surgery                                           Nervous                                           64450 Injection for Nerve Block 
76770     Radiology                                         Diagnostic Ultrasound                             76770 ECHO Exam Abdomen Back Wall 
67820     Surgery                                           Eye                                               67820 Revise Eyelashes 
73090     Radiology                                         Upper Extremities                                 73090 X-Ray Exam of Forearm 
00190     Anesthesia                                        Anesthesia                                        00190 Anesth, Facial Bone Surgery 
93451     Medicine                                                                                            93451 Right heart cath
65855     Surgery                                           Eye                                               65855 Laser Surgery of Eye 
95910     Medicine                                          Neurology                                         95910 Motor&sens 7-8 nrv cndj test
11721     Surgery                                           Integumentary                                     11721 Debride Nail, 6 Or More 
94060     Medicine                                          Pulmonary                                         94060 Evaluation of Wheezing 
11901     Surgery                                           Integumentary                                     11901 Added Skin Lesions Injection 
20610     Surgery                                           Muscuoskeletal - General                          20610 Drain/Inject Joint/Bursa 
Q4018     HCPCS Codes                                       Temporary Codes                                   Q4018 Cast sup lng arm splint fbrg
70496     Radiology                                         Head/Neck/Chest                                   70496 Ct angiography, head
47000     Surgery                                           Digestive - Rectum/Anus                           47000 Needle Biopsy of Liver 
85652     Pathology                                         Hematology/Coagulation                            85652 RBC Sed Rate, Auto 
99226     E&M                                               Low/Moderate Severity                             99226 Subsequent observation care
88314     Pathology                                         Surgical Pathology                                88314 Histochemical Stain 
84134     Pathology                                         Chemistry                                         84134 Prealbumin 
88300     Pathology                                         Surgical Pathology                                88300 Surg Path, Gross 
99347     E&M                                               Low/Moderate Severity                             99347 Home Visit, Estab Patient 
12013     Surgery                                           Integumentary                                     12013 Repair Superficial Wound(s) 
80186     Pathology                                         Pathology                                         80186 Assay for Phenytoin, Free 
95810     Medicine                                          Neurology                                         95810 Polysomnography, 4 Or More 
99316     E&M                                               Moderate/High Severity                            99316 Nursing Fac Discharge Day 
87070     Pathology                                         Microbiology                                      87070 Culture Specimen, Bacteria 
74174     Radiology                                         Abdomen/GI/Urinary                                74174 Ct angio abd&pelv w/o&w/dye
43264     Surgery                                           Digestive - Mouth/Esophagus                       43264 Endoscopy, Bile Duct/Pancreas 
24500     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                24500 Treat Humerus Fracture 
51705     Surgery                                           Urinary                                           51705 Change of Bladder Tube 
92014     Medicine                                          Ophthalmology                                     92014 Eye Exam & Treatment 
73564     Radiology                                         Lower Extremities                                 73564 X-Ray Exam of Knee, 4+ 
00840     Anesthesia                                        Anesthesia                                        00840 Anesth, Surg Lower Abdomen 
84460     Pathology                                         Chemistry                                         84460 Alanine Amino (ALT) (SGPT) 
51741     Surgery                                           Urinary                                           51741 Electro-Uroflowmetry, First 
A0427     HCPCS Codes                                       Transportation                                    A0427 ALS1-emergency
93016     Medicine                                          Cardiovascular, Cardiography                      93016 Cardiovascular Stress Test 
87389     Pathology                                         Microbiology                                      87389 Hiv-1 ag w/hiv-1 & hiv-2 ab
64495     Surgery                                           Nervous                                           64495 Inj paravert f jnt l/s 3 lev
27786     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27786 Treatment of Ankle Fracture 
43274                                                                                                         43274     Ercp duct stent placement
94729     Medicine                                          Pulmonary                                         94729 Co/membane diffuse capacity
93458     Medicine                                          Cardiovascular, Cardiac Cath                      93458 L hrt artery/ventricle angio
G0121     HCPCS Codes                                       Temporary Codes                                   G0121 Colon ca scrn not hi rsk ind
11101     Surgery                                           Integumentary                                     11101 Biopsy, Skin Add-on 
85014     Pathology                                         Hematology/Coagulation                            85014 Hematocrit 
70544     Radiology                                         MRI                                               70544 Mr angiography head w/o dye
62270     Surgery                                           Nervous                                           62270 Spinal Fluid Tap, Diagnostic 
43276                                                                                                         43276     Ercp stent exchange w/dilate
75978     Radiology                                         Veins/Lymphatics                                  75978 Repair Venous Blockage 
82247     Pathology                                         Chemistry                                         82247 Bilirubin Total 
G0103     HCPCS Codes                                       Temporary Codes                                   G0103 Psa, total screening
94010     Medicine                                          Pulmonary                                         94010 Breathing Capacity Test 
92556     Medicine                                          ENT                                               92556 Speech Audiometry, Complete 
93790     Medicine                                          Cardiovascular, Other                             93790 Review/report BP recording
76705     Radiology                                         Diagnostic Ultrasound                             76705 ECHO Exam of Abdomen 
29125     Surgery                                           Muscuoskeletal - Casts/Strapping                  29125 Apply Forearm Splint 
95908     Medicine                                          Neurology                                         95908 Motor&/sens 3-4 nrv cndj tst
29881     Surgery                                           Muscuoskeletal - Endoscopy/Arthroscopy            29881 Knee Arthroscopy/Surgery 
43255     Surgery                                           Digestive - Mouth/Esophagus                       43255 Operative Upper Gi Endoscopy 
A0429     HCPCS Codes                                       Transportation                                    A0429 BLS-emergency
29105     Surgery                                           Muscuoskeletal - Casts/Strapping                  29105 Apply Long Arm Splint 
76514     Radiology                                         Diagnostic Ultrasound                             76514 Echo exam of eye, thickness
95165     Medicine                                          Allergy & Immunology                              95165 Antigen Therapy Services 
J1030     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J1030 Methylprednisolone 40 MG inj
72050     Radiology                                         Spine & Pelvis                                    72050 X-Ray Exam of Neck Spine 
90836     Medicine                                          Psychiatry & Biofeedback                          90836 Psytx pt&/fam w/e&m 45 min
78306     Radiology                                         Nuclear Medicine                                  78306 Bone Imaging, Whole Body 
93321     Medicine                                          Cardiovascular, Echocardiography                  93321 Doppler ECHO Exam, Heart 
22851     Surgery                                           Muscuoskeletal - Back/Spine/Abdomen               22851 Apply Spine Prosth Device 
A4565     HCPCS Codes                                       Medical & Surgical Supplies                       A4565 Slings
90870     Medicine                                          Psychiatry & Biofeedback                          90870 Electroconvulsive therapy
74247     Radiology                                         Abdomen/GI/Urinary                                74247 Contrast X-Ray Upper GI Tract 
11057     Surgery                                           Integumentary                                     11057 Trim over 4 Skin Lesions 
51784     Surgery                                           Urinary                                           51784 Anal/Urinary Muscle Study 
99219     E&M                                               Moderate/High Severity                            99219 Observation Care 
00320     Anesthesia                                        Anesthesia                                        00320 Anesth, Neck Organ Surgery 
92226     Medicine                                          Ophthalmology                                     92226 Special Eye Exam, Subsequent 
85610     Pathology                                         Hematology/Coagulation                            85610 Prothrombin Time 
99231     E&M                                               Low/Moderate Severity                             99231 Subsequent Hospital Care 
84154     Pathology                                         Chemistry                                         84154 PSA Free 
72275     Radiology                                         Spine & Pelvis                                    72275 Epidurography, Radiological Supv & Interpretation
26040     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                26040 Release Palm Contracture 
87522     Pathology                                         Microbiology                                      87522 Hepatitis C, RNA, Quant 
Q2038     HCPCS Codes                                       Temporary Codes                                   Q2038 Fluzone vacc, 3 yrs & >, im
G0402     HCPCS Codes                                       Temporary Codes                                   G0402 Initial preventive exam
79005     Radiology                                         Nuclear Medicine                                  79005 Nuclear rx oral admin
73140     Radiology                                         Upper Extremities                                 73140 X-Ray Exam of Finger(s) 
73718     Radiology                                         MRI                                               73718 Mri lower extremity w/o dye
90935     Medicine                                          Dialysis                                          90935 Hemodialysis, One Evaluation 
99282     E&M                                               Low/Moderate Severity                             99282 Emergency Dept Visit 
93295     Medicine                                          Unknown                                           93295 Icd device interrogat remote
80185     Pathology                                         Pathology                                         80185 Assay for Phenytoin 
75625     Radiology                                         Aorta/Arteries                                    75625 Contrast X-Ray Exam of Aorta 
70210     Radiology                                         Head/Neck/Chest                                   70210 X-Ray Exam of Sinuses 
81003     Pathology                                         Urinalysis                                        81003 Urinalysis, Auto, w/o Scope 
92275     Medicine                                          Ophthalmology                                     92275 Electroretinography 
38221     Surgery                                           Hemic/Lymphatic                                   38221 Bone marrow biopsy
72114     Radiology                                         Spine & Pelvis                                    72114 X-Ray Exam of Lower Spine 
16020     Surgery                                           Integumentary                                     16020 Treatment of Burn(s) 
93971     Medicine                                          Non-Invasive Vascular and Diagnostic              93971 Extremity Study 
90662     Medicine                                          Immune Globulins/Immunizations/Vaccines           90662 Flu vacc prsv free inc antig
83540     Pathology                                         Chemistry                                         83540 Assay Iron 
00142     Anesthesia                                        Anesthesia                                        00142 Anesthesia for Lens Surgery 
76856     Radiology                                         Diagnostic Ultrasound                             76856 ECHO Exam of Pelvis 
00920     Anesthesia                                        Anesthesia                                        00920 Anesth, Genitalia Surgery 
P9604     HCPCS Codes                                       Path/Laboratory                                   P9604 One-way allow prorated trip
17110     Surgery                                           Integumentary                                     17110 Destruct Lesion, 1-14 
00790     Anesthesia                                        Anesthesia                                        00790 Anesth, Surg Upper Abdomen 
96920     Medicine                                          Other                                             96920 Laser Tx, Skin < 250 Sq Cm
97597     Medicine                                          Other                                             97597 Rmvl devital tis 20 cm/<
99201     E&M                                               Low/Moderate Severity                             99201 Office/Outpatient Visit, New 
29540     Surgery                                           Muscuoskeletal - Casts/Strapping                  29540 Strapping of Ankle 
00104     Anesthesia                                        Anesthesia                                        00104 Anesth for Electroshock 
17000     Surgery                                           Integumentary                                     17000 Destroy Benign/Premal Lesion 
12032     Surgery                                           Integumentary                                     12032 Layer Closure of Wound(s) 
66984     Surgery                                           Eye                                               66984 Remove Cataract, Insert Lens 
11750     Surgery                                           Integumentary                                     11750 Removal of Nail Bed 
88189     Pathology                                         Cytopathology/Cytogenetic                         88189 Flowcytometry/read 16 & >
