"MS-DRG","FY09 Proposed Rule Post-Acute DRG","FY09 Proposed Rule Special Pay DRG","MDC","TYPE","MS-DRG Title","DRGandTitle","Weights","Geometric mean LOS","Arithmetic mean LOS"
"013","No","No","PRE","SURG","Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC","013 - Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC","1.9056713696000001","5.9178196464999999","6.9266561513999996"
"014","No","No","PRE","SURG","ALLOGENEIC BONE MARROW TRANSPLANT","014 - ALLOGENEIC BONE MARROW TRANSPLANT","10.988300000000001","20","25.100000000000001"
"016","No","No","PRE","SURG","AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC","016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC","5.8780000000000001","17.5","19.100000000000001"
"017","No","No","PRE","SURG","AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC","017 - AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC","4.1603000000000003","8.9000000000000004","12.4"
"020","No","No","01","SURG","Intracranial vascular procedures w PDX hemorrhage w MCC","020 - Intracranial vascular procedures w PDX hemorrhage w MCC","8.3275542558000009","14.8319947313","18.3525423729"
"021","No","No","01","SURG","Intracranial vascular procedures w PDX hemorrhage w CC","021 - Intracranial vascular procedures w PDX hemorrhage w CC","6.3534001182999997","13.692284343800001","15.4471698113"
"022","No","No","01","SURG","Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC","022 - Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC","4.2071611703","7.6489381990999998","9.3726415093999993"
"023","No","No","01","SURG","Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant","023 - Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant","5.0763183903","8.8936950968000001","12.679356568399999"
"024","No","No","01","SURG","Cranio w major dev impl/acute complex CNS PDX w/o MCC","024 - Cranio w major dev impl/acute complex CNS PDX w/o MCC","3.4757470109000002","6.2587272515999999","9.0262906310000002"
"025","Yes","No","01","SURG","Craniotomy & endovascular intracranial procedures w MCC","025 - Craniotomy & endovascular intracranial procedures w MCC","5.0324309128999998","9.8973464770999993","13.0331148672"
"026","Yes","No","01","SURG","Craniotomy & endovascular intracranial procedures w CC","026 - Craniotomy & endovascular intracranial procedures w CC","3.0107420864000001","6.4531870528999997","8.2208828523000008"
"027","Yes","No","01","SURG","Craniotomy & endovascular intracranial procedures w/o CC/MCC","027 - Craniotomy & endovascular intracranial procedures w/o CC/MCC","2.1083223355","3.4747130205999999","4.5416818879000003"
"028","Yes","Yes","01","SURG","Spinal procedures w MCC","028 - Spinal procedures w MCC","5.1853132673999998","10.722250773300001","14.305522208899999"
"029","Yes","Yes","01","SURG","Spinal procedures w CC or spinal neurostimulators","029 - Spinal procedures w CC or spinal neurostimulators","2.7949248066000001","5.1403964662000003","7.1091205212000004"
"030","Yes","Yes","01","SURG","Spinal procedures w/o CC/MCC","030 - Spinal procedures w/o CC/MCC","1.5395326063999999","2.7933059699","3.7288784221000002"
"031","Yes","No","01","SURG","Ventricular shunt procedures w MCC","031 - Ventricular shunt procedures w MCC","4.3898658652","9.3609628893999997","13.146627565999999"
"032","Yes","No","01","SURG","Ventricular shunt procedures w CC","032 - Ventricular shunt procedures w CC","1.9471259174","3.9948218851999999","5.9784094997999997"
"033","Yes","No","01","SURG","Ventricular shunt procedures w/o CC/MCC","033 - Ventricular shunt procedures w/o CC/MCC","1.3333653905","2.3189077971000001","3.0400663166999999"
"034","No","No","01","SURG","Carotid artery stent procedure w MCC","034 - Carotid artery stent procedure w MCC","3.2182344464999999","4.5644365734000001","7.2342931937000001"
"035","No","No","01","SURG","Carotid artery stent procedure w CC","035 - Carotid artery stent procedure w CC","2.0258419665999998","2.1322668581999999","3.2838623156"
"036","No","No","01","SURG","Carotid artery stent procedure w/o CC/MCC","036 - Carotid artery stent procedure w/o CC/MCC","1.570636414","1.3160160382999999","1.5973668981"
"037","No","No","01","SURG","Extracranial procedures w MCC","037 - Extracranial procedures w MCC","3.0207791279","5.9064996527","8.5478206982000007"
"038","No","No","01","SURG","Extracranial procedures w CC","038 - Extracranial procedures w CC","1.5585288101999999","2.5462843123000001","3.7666855203999998"
"039","No","No","01","SURG","Extracranial procedures w/o CC/MCC","039 - Extracranial procedures w/o CC/MCC","1.0056535142","1.4681675301999999","1.8279940668000001"
"040","Yes","Yes","01","SURG","Periph/cranial nerve & other nerv syst proc w MCC","040 - Periph/cranial nerve & other nerv syst proc w MCC","3.9691492153999999","9.7192626185000002","13.3499160369"
"041","Yes","Yes","01","SURG","Periph/cranial nerve & other nerv syst proc w CC or periph neurostim","041 - Periph/cranial nerve & other nerv syst proc w CC or periph neurostim","2.151686921","5.2986039601000003","7.2005810114999997"
"042","Yes","Yes","01","SURG","Periph/cranial nerve & other nerv syst proc w/o CC/MCC","042 - Periph/cranial nerve & other nerv syst proc w/o CC/MCC","1.6771418345","2.5438610587000001","3.6304303068000001"
"052","No","No","01","MED","Spinal disorders & injuries w CC/MCC","052 - Spinal disorders & injuries w CC/MCC","1.6271327767999999","4.8539294999999996","6.7394668959999997"
"053","No","No","01","MED","Spinal disorders & injuries w/o CC/MCC","053 - Spinal disorders & injuries w/o CC/MCC","0.8617079486","3.2440674313","4.0102214650999999"
"054","Yes","No","01","MED","Nervous system neoplasms w MCC","054 - Nervous system neoplasms w MCC","1.5844477450000001","5.1720456803000001","6.9524627720999996"
"055","Yes","No","01","MED","Nervous system neoplasms w/o MCC","055 - Nervous system neoplasms w/o MCC","1.0780656103999999","3.7782790152999999","5.0729160267999998"
"056","Yes","No","01","MED","Degenerative nervous system disorders w MCC","056 - Degenerative nervous system disorders w MCC","1.6310677607999999","5.7111719602999997","7.7657613967000003"
"057","Yes","No","01","MED","Degenerative nervous system disorders w/o MCC","057 - Degenerative nervous system disorders w/o MCC","0.87553366160000001","3.8875440673999999","4.9743649499"
"058","No","No","01","MED","Multiple sclerosis & cerebellar ataxia w MCC","058 - Multiple sclerosis & cerebellar ataxia w MCC","1.5373431252","5.6954741375999998","7.5978260869999996"
"059","No","No","01","MED","Multiple sclerosis & cerebellar ataxia w CC","059 - Multiple sclerosis & cerebellar ataxia w CC","0.94042785370000004","4.1975886971999996","5.1431686046999996"
"060","No","No","01","MED","Multiple sclerosis & cerebellar ataxia w/o CC/MCC","060 - Multiple sclerosis & cerebellar ataxia w/o CC/MCC","0.69779448150000001","3.3569873428000001","3.9675356615999999"
"061","No","No","01","MED","Acute ischemic stroke w use of thrombolytic agent w MCC","061 - Acute ischemic stroke w use of thrombolytic agent w MCC","2.8758998947999999","6.8160466724999997","8.9451104100999999"
"062","No","No","01","MED","Acute ischemic stroke w use of thrombolytic agent w CC","062 - Acute ischemic stroke w use of thrombolytic agent w CC","1.9505378692999999","5.2745188356000003","6.2679658951999997"
"063","No","No","01","MED","Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC","063 - Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC","1.5168483039","3.9162770908","4.5124905374999997"
"064","Yes","No","01","MED","Intracranial hemorrhage or cerebral infarction w MCC","064 - Intracranial hemorrhage or cerebral infarction w MCC","1.8446467025","5.5007976000000003","7.4678368870999998"
"065","Yes","No","01","MED","Intracranial hemorrhage or cerebral infarction w CC","065 - Intracranial hemorrhage or cerebral infarction w CC","1.1747641093000001","4.2712799059000002","5.2189402673999998"
"066","Yes","No","01","MED","Intracranial hemorrhage or cerebral infarction w/o CC/MCC","066 - Intracranial hemorrhage or cerebral infarction w/o CC/MCC","0.84256418529999999","3.0780825133","3.7150443072999999"
"067","No","No","01","MED","Nonspecific cva & precerebral occlusion w/o infarct w MCC","067 - Nonspecific cva & precerebral occlusion w/o infarct w MCC","1.3898824432000001","4.4404045737000004","5.8231925555000004"
"068","No","No","01","MED","Nonspecific cva & precerebral occlusion w/o infarct w/o MCC","068 - Nonspecific cva & precerebral occlusion w/o infarct w/o MCC","0.84492222780000004","2.7315989906999998","3.4486481742000001"
"069","No","No","01","MED","Transient ischemia","069 - Transient ischemia","0.71425251960000002","2.4433552716000002","2.9923757122999999"
"070","Yes","No","01","MED","Nonspecific cerebrovascular disorders w MCC","070 - Nonspecific cerebrovascular disorders w MCC","1.8240548395","5.9742123508000002","7.8584082856000004"
"071","Yes","No","01","MED","Nonspecific cerebrovascular disorders w CC","071 - Nonspecific cerebrovascular disorders w CC","1.1306532507","4.3939278468999996","5.5569673422000001"
"072","Yes","No","01","MED","Nonspecific cerebrovascular disorders w/o CC/MCC","072 - Nonspecific cerebrovascular disorders w/o CC/MCC","0.76286390280000005","2.7864961469999998","3.5390379922999999"
"073","No","No","01","MED","Cranial & peripheral nerve disorders w MCC","073 - Cranial & peripheral nerve disorders w MCC","1.3037326205999999","4.7024181340000002","6.2385858367000004"
"074","No","No","01","MED","Cranial & peripheral nerve disorders w/o MCC","074 - Cranial & peripheral nerve disorders w/o MCC","0.84063337039999997","3.3981323929","4.3072989455000004"
"075","No","No","01","MED","Viral meningitis w CC/MCC","075 - Viral meningitis w CC/MCC","1.6738419779","5.7335591304999998","7.3021001616000003"
"076","No","No","01","MED","Viral meningitis w/o CC/MCC","076 - Viral meningitis w/o CC/MCC","0.85435897149999995","3.4310883934","4.1340206186000001"
"077","No","No","01","MED","Hypertensive encephalopathy w MCC","077 - Hypertensive encephalopathy w MCC","1.6224824038000001","5.2466832707000002","6.6820809249000002"
"078","No","No","01","MED","Hypertensive encephalopathy w CC","078 - Hypertensive encephalopathy w CC","1.0050272081","3.5767610483999999","4.4156583630000004"
"079","No","No","01","MED","Hypertensive encephalopathy w/o CC/MCC","079 - Hypertensive encephalopathy w/o CC/MCC","0.73765918100000005","2.7777817452","3.3870967742000002"
"080","No","No","01","MED","Nontraumatic stupor & coma w MCC","080 - Nontraumatic stupor & coma w MCC","1.1006628902","3.7826781724999998","5.1015583019999999"
"081","No","No","01","MED","Nontraumatic stupor & coma w/o MCC","081 - Nontraumatic stupor & coma w/o MCC","0.70943391749999996","2.7487713601000001","3.5278089887999999"
"082","No","No","01","MED","Traumatic stupor & coma, coma >1 hr w MCC","082 - Traumatic stupor & coma, coma >1 hr w MCC","2.0177469046000001","3.7438952731000001","6.4086511098000001"
"083","No","No","01","MED","Traumatic stupor & coma, coma >1 hr w CC","083 - Traumatic stupor & coma, coma >1 hr w CC","1.3027146110000001","3.7061882812000002","4.9551000488000003"
"084","No","No","01","MED","Traumatic stupor & coma, coma >1 hr w/o CC/MCC","084 - Traumatic stupor & coma, coma >1 hr w/o CC/MCC","0.87197893609999999","2.3587496376999999","3.1267605634"
"085","Yes","No","01","MED","Traumatic stupor & coma, coma <1 hr w MCC","085 - Traumatic stupor & coma, coma <1 hr w MCC","2.0942233464000002","5.5199768961000002","7.6398910824000001"
"086","Yes","No","01","MED","Traumatic stupor & coma, coma <1 hr w CC","086 - Traumatic stupor & coma, coma <1 hr w CC","1.2048825123","3.8945051564000002","5.0030527693"
"087","Yes","No","01","MED","Traumatic stupor & coma, coma <1 hr w/o CC/MCC","087 - Traumatic stupor & coma, coma <1 hr w/o CC/MCC","0.80075501329999998","2.5768881251","3.2741375318000001"
"088","No","No","01","MED","Concussion w MCC","088 - Concussion w MCC","1.5774374175000001","4.2421602736999997","5.8748241913000001"
"089","No","No","01","MED","Concussion w CC","089 - Concussion w CC","0.91619399759999998","2.9758296890999998","3.7603366264"
"090","No","No","01","MED","Concussion w/o CC/MCC","090 - Concussion w/o CC/MCC","0.67360448169999998","2.0311081153999999","2.5495466321000002"
"091","Yes","No","01","MED","Other disorders of nervous system w MCC","091 - Other disorders of nervous system w MCC","1.564053248","4.5573073710000003","6.3663861125999999"
"092","Yes","No","01","MED","Other disorders of nervous system w CC","092 - Other disorders of nervous system w CC","0.91950234689999999","3.5236021298","4.4652722238999996"
"093","Yes","No","01","MED","Other disorders of nervous system w/o CC/MCC","093 - Other disorders of nervous system w/o CC/MCC","0.67529593359999995","2.6086774534999999","3.2192503413"
"094","No","No","01","MED","Bacterial & tuberculous infections of nervous system w MCC","094 - Bacterial & tuberculous infections of nervous system w MCC","3.3476615167000001","9.2401182620999993","11.8547182621"
"095","No","No","01","MED","Bacterial & tuberculous infections of nervous system w CC","095 - Bacterial & tuberculous infections of nervous system w CC","2.1933629244000001","6.8916478700999999","8.6359223300999997"
"096","No","No","01","MED","Bacterial & tuberculous infections of nervous system w/o CC/MCC","096 - Bacterial & tuberculous infections of nervous system w/o CC/MCC","1.8297081785","4.9719166842","6.1743725230999997"
"097","No","No","01","MED","Non-bacterial infect of nervous sys exc viral meningitis w MCC","097 - Non-bacterial infect of nervous sys exc viral meningitis w MCC","3.2101466759999999","9.9086941924000005","12.6023489933"
"098","No","No","01","MED","Non-bacterial infect of nervous sys exc viral meningitis w CC","098 - Non-bacterial infect of nervous sys exc viral meningitis w CC","1.8563710866000001","6.7639715781999996","8.3522388060000008"
"099","No","No","01","MED","Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC","099 - Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC","1.2533213365","4.6359469774999997","5.8751950078000004"
"100","Yes","No","01","MED","Seizures w MCC","100 - Seizures w MCC","1.5064485479","4.6764838792000001","6.3526814622999996"
"101","Yes","No","01","MED","Seizures w/o MCC","101 - Seizures w/o MCC","0.75944958900000004","2.9110884798000001","3.6956269859000002"
"102","No","No","01","MED","Headaches w MCC","102 - Headaches w MCC","0.95941177840000003","3.2809092006","4.5305555556000003"
"103","No","No","01","MED","Headaches w/o MCC","103 - Headaches w/o MCC","0.62235613830000003","2.4645765062999998","3.1270476883999998"
"113","No","No","02","SURG","Orbital procedures w CC/MCC","113 - Orbital procedures w CC/MCC","1.5656488984000001","3.7600287175","5.5980952381"
"114","No","No","02","SURG","Orbital procedures w/o CC/MCC","114 - Orbital procedures w/o CC/MCC","0.8312752108","1.9163374113","2.6090090090000002"
"115","No","No","02","SURG","Extraocular procedures except orbit","115 - Extraocular procedures except orbit","1.0624649721999999","3.2750723985999999","4.3221797323000004"
"116","No","No","02","SURG","Intraocular procedures w CC/MCC","116 - Intraocular procedures w CC/MCC","1.1338400661000001","2.6103414181","4.0677655678000004"
"117","No","No","02","SURG","Intraocular procedures w/o CC/MCC","117 - Intraocular procedures w/o CC/MCC","0.669918189","1.6406086881999999","2.1596385541999998"
"121","No","No","02","MED","Acute major eye infections w CC/MCC","121 - Acute major eye infections w CC/MCC","0.95559649869999996","4.3507884668000001","5.4575645756000002"
"122","No","No","02","MED","Acute major eye infections w/o CC/MCC","122 - Acute major eye infections w/o CC/MCC","0.61270976489999995","3.3509414453000002","4.0487012987000002"
"123","No","No","02","MED","Neurological eye disorders","123 - Neurological eye disorders","0.68401109650000003","2.3435095683","2.8756737334000002"
"124","No","No","02","MED","Other disorders of the eye w MCC","124 - Other disorders of the eye w MCC","1.0620445285","3.894892864","5.2696929239000001"
"125","No","No","02","MED","Other disorders of the eye w/o MCC","125 - Other disorders of the eye w/o MCC","0.66603106099999998","2.7638666330000001","3.5135193132999998"
"129","No","No","03","SURG","Major head & neck procedures w CC/MCC or major device","129 - Major head & neck procedures w CC/MCC or major device","2.0146528126000001","3.7020759212000001","5.1803399851999998"
"130","No","No","03","SURG","Major head & neck procedures w/o CC/MCC","130 - Major head & neck procedures w/o CC/MCC","1.1587501559","2.3522057223999999","2.9393656716000001"
"131","No","No","03","SURG","Cranial/facial procedures w CC/MCC","131 - Cranial/facial procedures w CC/MCC","1.9767625336000001","3.9914496386999998","5.7491926803000002"
"132","No","No","03","SURG","Cranial/facial procedures w/o CC/MCC","132 - Cranial/facial procedures w/o CC/MCC","1.1041379622","2.0692036327999999","2.6504524887000001"
"133","No","No","03","SURG","Other ear, nose, mouth & throat O.R. procedures w CC/MCC","133 - Other ear, nose, mouth & throat O.R. procedures w CC/MCC","1.5490919604","3.5512295957000002","5.3296314991999996"
"134","No","No","03","SURG","Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC","134 - Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC","0.82432374450000001","1.7192127323999999","2.2334027984999998"
"135","No","No","03","SURG","Sinus & mastoid procedures w CC/MCC","135 - Sinus & mastoid procedures w CC/MCC","1.6842084314000001","3.7662966914","5.8295454544999998"
"136","No","No","03","SURG","Sinus & mastoid procedures w/o CC/MCC","136 - Sinus & mastoid procedures w/o CC/MCC","0.90234048150000001","1.7384760852000001","2.3305084746000002"
"137","No","No","03","SURG","Mouth procedures w CC/MCC","137 - Mouth procedures w CC/MCC","1.2668386523999999","3.7928946080000001","5.4062095730999999"
"138","No","No","03","SURG","Mouth procedures w/o CC/MCC","138 - Mouth procedures w/o CC/MCC","0.73682916700000001","1.9233489442","2.5254237287999999"
"139","No","No","03","SURG","Salivary gland procedures","139 - Salivary gland procedures","0.81761754170000001","1.4266954702000001","1.8467741934999999"
"146","No","No","03","MED","Ear, nose, mouth & throat malignancy w MCC","146 - Ear, nose, mouth & throat malignancy w MCC","2.0488553508999998","6.6617468436999996","9.4465875370999992"
"147","No","No","03","MED","Ear, nose, mouth & throat malignancy w CC","147 - Ear, nose, mouth & throat malignancy w CC","1.2486276884","4.2935305457000004","6.1248164463999997"
"148","No","No","03","MED","Ear, nose, mouth & throat malignancy w/o CC/MCC","148 - Ear, nose, mouth & throat malignancy w/o CC/MCC","0.81811719660000004","2.7050837648999999","3.8040141677000001"
"149","No","No","03","MED","Dysequilibrium","149 - Dysequilibrium","0.60858411589999994","2.2341785159000001","2.7188506636000001"
"150","No","No","03","MED","Epistaxis w MCC","150 - Epistaxis w MCC","1.2243140388","3.7472781148999998","5.1940928270000004"
"151","No","No","03","MED","Epistaxis w/o MCC","151 - Epistaxis w/o MCC","0.60181818269999998","2.3162879649999999","2.8926105479999999"
"152","No","No","03","MED","Otitis media & URI w MCC","152 - Otitis media & URI w MCC","0.89763492290000002","3.4434732162000001","4.4571263036"
"153","No","No","03","MED","Otitis media & URI w/o MCC","153 - Otitis media & URI w/o MCC","0.5947742238","2.6102108836000002","3.2166914531000002"
"154","No","No","03","MED","Other ear, nose, mouth & throat diagnoses wMCC","154 - Other ear, nose, mouth & throat diagnoses wMCC","1.3768427286","4.5730846732000003","6.3408851423000003"
"155","No","No","03","MED","Other ear, nose, mouth & throat diagnoses w CC","155 - Other ear, nose, mouth & throat diagnoses w CC","0.87786107670000002","3.4682956127","4.4192393736"
"156","No","No","03","MED","Other ear, nose, mouth & throat diagnoses w/o CC/MCC","156 - Other ear, nose, mouth & throat diagnoses w/o CC/MCC","0.63059154520000005","2.5265193629999998","3.1730649512000002"
"157","No","No","03","MED","Dental & oral diseases w MCC","157 - Dental & oral diseases w MCC","1.4793191317000001","4.6540000266000003","6.6542145593999997"
"158","No","No","03","MED","Dental & oral diseases w CC","158 - Dental & oral diseases w CC","0.8614656476","3.4417513791999998","4.5281143212000003"
"159","No","No","03","MED","Dental & oral diseases w/o CC/MCC","159 - Dental & oral diseases w/o CC/MCC","0.59522182570000004","2.3964697350000002","3.0522292994"
"163","Yes","No","04","SURG","Major chest procedures w MCC","163 - Major chest procedures w MCC","4.9951499034999998","12.2443359753","14.947097722300001"
"164","Yes","No","04","SURG","Major chest procedures w CC","164 - Major chest procedures w CC","2.5982169739000001","6.6730858611999997","8.0988199764999997"
"165","Yes","No","04","SURG","Major chest procedures w/o CC/MCC","165 - Major chest procedures w/o CC/MCC","1.8086068835","4.3031140062000004","5.1445756939000002"
"166","Yes","No","04","SURG","Other resp system O.R. procedures w MCC","166 - Other resp system O.R. procedures w MCC","3.6865045373999998","10.0295341296","12.913445623599999"
"167","Yes","No","04","SURG","Other resp system O.R. procedures w CC","167 - Other resp system O.R. procedures w CC","2.0256313244999999","6.3033895088999996","7.9754849401000003"
"168","Yes","No","04","SURG","Other resp system O.R. procedures w/o CC/MCC","168 - Other resp system O.R. procedures w/o CC/MCC","1.3443053599000001","3.9375403405","5.2531552954"
"175","Yes","No","04","MED","Pulmonary embolism w MCC","175 - Pulmonary embolism w MCC","1.5777346028999999","6.0184176444000004","7.2656360912000002"
"176","Yes","No","04","MED","Pulmonary embolism w/o MCC","176 - Pulmonary embolism w/o MCC","1.0696230654000001","4.5605899592999997","5.3279616724999999"
"177","Yes","No","04","MED","Respiratory infections & inflammations w MCC","177 - Respiratory infections & inflammations w MCC","2.0391399206999998","7.1674695455000004","9.1039882017"
"178","Yes","No","04","MED","Respiratory infections & inflammations w CC","178 - Respiratory infections & inflammations w CC","1.4978740742000001","6.0334419783","7.3790332830000001"
"179","Yes","No","04","MED","Respiratory infections & inflammations w/o CC/MCC","179 - Respiratory infections & inflammations w/o CC/MCC","1.0408839809999999","4.5516101450999997","5.5661375661000001"
"180","No","No","04","MED","Respiratory neoplasms w MCC","180 - Respiratory neoplasms w MCC","1.6937752636000001","6.0271205881999999","7.8993682513000003"
"181","No","No","04","MED","Respiratory neoplasms w CC","181 - Respiratory neoplasms w CC","1.2292709932000001","4.4971133339999998","5.9091691493000003"
"182","No","No","04","MED","Respiratory neoplasms w/o CC/MCC","182 - Respiratory neoplasms w/o CC/MCC","0.87123029009999997","3.1876112056000001","4.1782432929000004"
"183","No","No","04","MED","Major chest trauma w MCC","183 - Major chest trauma w MCC","1.5304009911000001","5.7663988122000003","7.2345013477000002"
"184","No","No","04","MED","Major chest trauma w CC","184 - Major chest trauma w CC","0.94050931270000004","3.8073034272999999","4.5844336344999999"
"185","No","No","04","MED","Major chest trauma w/o CC/MCC","185 - Major chest trauma w/o CC/MCC","0.67553262199999997","2.8607470215999999","3.4066241021999999"
"186","Yes","No","04","MED","Pleural effusion w MCC","186 - Pleural effusion w MCC","1.6199783613000001","5.6599558135999999","7.4025552186999999"
"187","Yes","No","04","MED","Pleural effusion w CC","187 - Pleural effusion w CC","1.0940064839000001","4.1366077363000002","5.3223618591999999"
"188","Yes","No","04","MED","Pleural effusion w/o CC/MCC","188 - Pleural effusion w/o CC/MCC","0.81206577899999999","3.148759026","3.9928201037000002"
"189","No","No","04","MED","Pulmonary edema & respiratory failure","189 - Pulmonary edema & respiratory failure","1.3472945665","4.7687446397000004","6.1473226925000004"
"190","Yes","No","04","MED","Chronic obstructive pulmonary disease w MCC","190 - Chronic obstructive pulmonary disease w MCC","1.3004498123999999","5.0039882245999996","6.2969542282999997"
"191","Yes","No","04","MED","Chronic obstructive pulmonary disease w CC","191 - Chronic obstructive pulmonary disease w CC","0.97339998500000002","4.1112444296000001","5.0153113045"
"192","Yes","No","04","MED","Chronic obstructive pulmonary disease w/o CC/MCC","192 - Chronic obstructive pulmonary disease w/o CC/MCC","0.72387436849999998","3.3125547228999999","3.9706073399999999"
"193","Yes","No","04","MED","Simple pneumonia & pleurisy w MCC","193 - Simple pneumonia & pleurisy w MCC","1.4302754613999999","5.4239551478000001","6.7513172966999999"
"194","Yes","No","04","MED","Simple pneumonia & pleurisy w CC","194 - Simple pneumonia & pleurisy w CC","1.0040859047999999","4.4017987165000001","5.2656460467999997"
"195","Yes","No","04","MED","Simple pneumonia & pleurisy w/o CC/MCC","195 - Simple pneumonia & pleurisy w/o CC/MCC","0.73014343380000002","3.4557302589000001","4.0793906998000002"
"196","Yes","No","04","MED","Interstitial lung disease w MCC","196 - Interstitial lung disease w MCC","1.6006437389999999","5.8501137873999998","7.3502321262999999"
"197","Yes","No","04","MED","Interstitial lung disease w CC","197 - Interstitial lung disease w CC","1.0972704466000001","4.3890388642999998","5.3904341428000002"
"198","Yes","No","04","MED","Interstitial lung disease w/o CC/MCC","198 - Interstitial lung disease w/o CC/MCC","0.81580439309999997","3.3275079830999998","4.0814911140000003"
"199","No","No","04","MED","Pneumothorax w MCC","199 - Pneumothorax w MCC","1.7382645275999999","6.4115441906999999","8.3029925187"
"200","No","No","04","MED","Pneumothorax w CC","200 - Pneumothorax w CC","1.0118049389999999","3.9070075179999999","5.0885441526999999"
"201","No","No","04","MED","Pneumothorax w/o CC/MCC","201 - Pneumothorax w/o CC/MCC","0.73986219590000002","3.1392619198","4.0579751947"
"202","No","No","04","MED","Bronchitis & asthma w CC/MCC","202 - Bronchitis & asthma w CC/MCC","0.81354135000000005","3.5142877438000002","4.3525027351999999"
"203","No","No","04","MED","Bronchitis & asthma w/o CC/MCC","203 - Bronchitis & asthma w/o CC/MCC","0.59383765529999999","2.8060170951000001","3.3859216059000001"
"204","No","No","04","MED","Respiratory signs & symptoms","204 - Respiratory signs & symptoms","0.65327885990000001","2.2220176909","2.8751607747999999"
"205","Yes","No","04","MED","Other respiratory system diagnoses w MCC","205 - Other respiratory system diagnoses w MCC","1.2427177079","4.0321932387999997","5.5045322388000004"
"206","Yes","No","04","MED","Other respiratory system diagnoses w/o MCC","206 - Other respiratory system diagnoses w/o MCC","0.72664720599999999","2.6858969890000002","3.4398810630000001"
"207","Yes","No","04","MED","Respiratory system diagnosis w ventilator support 96+ hours","207 - Respiratory system diagnosis w ventilator support 96+ hours","5.1152751358000002","12.819737676100001","15.077517611899999"
"208","No","No","04","MED","Respiratory system diagnosis w ventilator support <96 hours","208 - Respiratory system diagnosis w ventilator support <96 hours","2.1826865659000001","5.1555491534","7.2254890415000004"
"215","No","No","05","SURG","Other heart assist system implant","215 - Other heart assist system implant","12.3350646716","7.8086673040000001","14.1843971631"
"216","Yes","No","05","SURG","Cardiac valve & oth maj cardiothoracic proc w card cath w MCC","216 - Cardiac valve & oth maj cardiothoracic proc w card cath w MCC","10.107221146300001","15.7366686874","18.3720687253"
